# Generated from laguna-xs-2.1-uniform-routed-q4k-probe.gguf on 2026-07-27.
# GGUFReader result: type 12 (Q4_K); tensor bytes are unpadded GGUF tensor data bytes.
layer	tensor	type	tensor_bytes
1	blk.1.ffn_down_exps.weight	Q4_K	150994944
1	blk.1.ffn_gate_exps.weight	Q4_K	150994944
1	blk.1.ffn_up_exps.weight	Q4_K	150994944
2	blk.2.ffn_down_exps.weight	Q4_K	150994944
2	blk.2.ffn_gate_exps.weight	Q4_K	150994944
2	blk.2.ffn_up_exps.weight	Q4_K	150994944
3	blk.3.ffn_down_exps.weight	Q4_K	150994944
3	blk.3.ffn_gate_exps.weight	Q4_K	150994944
3	blk.3.ffn_up_exps.weight	Q4_K	150994944
4	blk.4.ffn_down_exps.weight	Q4_K	150994944
4	blk.4.ffn_gate_exps.weight	Q4_K	150994944
4	blk.4.ffn_up_exps.weight	Q4_K	150994944
5	blk.5.ffn_down_exps.weight	Q4_K	150994944
5	blk.5.ffn_gate_exps.weight	Q4_K	150994944
5	blk.5.ffn_up_exps.weight	Q4_K	150994944
6	blk.6.ffn_down_exps.weight	Q4_K	150994944
6	blk.6.ffn_gate_exps.weight	Q4_K	150994944
6	blk.6.ffn_up_exps.weight	Q4_K	150994944
7	blk.7.ffn_down_exps.weight	Q4_K	150994944
7	blk.7.ffn_gate_exps.weight	Q4_K	150994944
7	blk.7.ffn_up_exps.weight	Q4_K	150994944
8	blk.8.ffn_down_exps.weight	Q4_K	150994944
8	blk.8.ffn_gate_exps.weight	Q4_K	150994944
8	blk.8.ffn_up_exps.weight	Q4_K	150994944
9	blk.9.ffn_down_exps.weight	Q4_K	150994944
9	blk.9.ffn_gate_exps.weight	Q4_K	150994944
9	blk.9.ffn_up_exps.weight	Q4_K	150994944
10	blk.10.ffn_down_exps.weight	Q4_K	150994944
10	blk.10.ffn_gate_exps.weight	Q4_K	150994944
10	blk.10.ffn_up_exps.weight	Q4_K	150994944
11	blk.11.ffn_down_exps.weight	Q4_K	150994944
11	blk.11.ffn_gate_exps.weight	Q4_K	150994944
11	blk.11.ffn_up_exps.weight	Q4_K	150994944
12	blk.12.ffn_down_exps.weight	Q4_K	150994944
12	blk.12.ffn_gate_exps.weight	Q4_K	150994944
12	blk.12.ffn_up_exps.weight	Q4_K	150994944
13	blk.13.ffn_down_exps.weight	Q4_K	150994944
13	blk.13.ffn_gate_exps.weight	Q4_K	150994944
13	blk.13.ffn_up_exps.weight	Q4_K	150994944
14	blk.14.ffn_down_exps.weight	Q4_K	150994944
14	blk.14.ffn_gate_exps.weight	Q4_K	150994944
14	blk.14.ffn_up_exps.weight	Q4_K	150994944
15	blk.15.ffn_down_exps.weight	Q4_K	150994944
15	blk.15.ffn_gate_exps.weight	Q4_K	150994944
15	blk.15.ffn_up_exps.weight	Q4_K	150994944
16	blk.16.ffn_down_exps.weight	Q4_K	150994944
16	blk.16.ffn_gate_exps.weight	Q4_K	150994944
16	blk.16.ffn_up_exps.weight	Q4_K	150994944
17	blk.17.ffn_down_exps.weight	Q4_K	150994944
17	blk.17.ffn_gate_exps.weight	Q4_K	150994944
17	blk.17.ffn_up_exps.weight	Q4_K	150994944
18	blk.18.ffn_down_exps.weight	Q4_K	150994944
18	blk.18.ffn_gate_exps.weight	Q4_K	150994944
18	blk.18.ffn_up_exps.weight	Q4_K	150994944
19	blk.19.ffn_down_exps.weight	Q4_K	150994944
19	blk.19.ffn_gate_exps.weight	Q4_K	150994944
19	blk.19.ffn_up_exps.weight	Q4_K	150994944
20	blk.20.ffn_down_exps.weight	Q4_K	150994944
20	blk.20.ffn_gate_exps.weight	Q4_K	150994944
20	blk.20.ffn_up_exps.weight	Q4_K	150994944
21	blk.21.ffn_down_exps.weight	Q4_K	150994944
21	blk.21.ffn_gate_exps.weight	Q4_K	150994944
21	blk.21.ffn_up_exps.weight	Q4_K	150994944
22	blk.22.ffn_down_exps.weight	Q4_K	150994944
22	blk.22.ffn_gate_exps.weight	Q4_K	150994944
22	blk.22.ffn_up_exps.weight	Q4_K	150994944
23	blk.23.ffn_down_exps.weight	Q4_K	150994944
23	blk.23.ffn_gate_exps.weight	Q4_K	150994944
23	blk.23.ffn_up_exps.weight	Q4_K	150994944
24	blk.24.ffn_down_exps.weight	Q4_K	150994944
24	blk.24.ffn_gate_exps.weight	Q4_K	150994944
24	blk.24.ffn_up_exps.weight	Q4_K	150994944
